Table,Category,Variable Name,Variable Description,Other Details,
2,Lifestyle and Dietary Recommendations,DBD100,How often {do you/does SP} add ordinary salt to {your/his/her/SP's} food at the table?  Would you say . . .,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DBQ095Z,What type of salt {do you/does SP} usually add to {your/his/her/SP's} food at the table?  Would you say . . .,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1_300,"Was the amount of food that {you/NAME} ate yesterday much more than usual, usual, or much less than usual?","['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1_320Z,"Total plain water drank yesterday - including plain tap water, water from a drinking fountain, water from a water cooler, bottled water, and spring water.","['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1_330Z,Total tap water drank yesterday - including filtered tap water and water from a drinking fountain.,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1BWATZ,Total bottled water drank yesterday (gm),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1DAY,Intake day of the week,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1DBIH,Number of days between intake day and the day of family questionnaire administered in the household.,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1DRSTZ,Dietary recall status,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1EXMER,Interviewer ID code,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1HELPD,Who helped in responding for this interview,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1LANG,The respondent spoke mostly:,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1MNRSP,Who was the main respondent for this interview?,"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1SKY,"What type of salt was it? (Was it ordinary or seasoned salt, lite salt, or a salt substitute?)","['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1STY,"Did {you/SP} add any salt to {your/her/his} food at the table yesterday? Salt includes ordinary or seasoned salt, lite salt, or a salt substitute.","['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TACAR,Alpha-carotene (mcg),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TALCO,Alcohol (gm),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TATOA,Added alpha-tocopherol (Vitamin E) (mg),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TATOC,Vitamin E as alpha-tocopherol (mg),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TB12A,Added vitamin B12 (mcg),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TBCAR,Beta-carotene (mcg),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TCAFF,Caffeine (mg),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
2,Lifestyle and Dietary Recommendations,DR1TCALC,Calcium (mg),"['DR1TOT_H', 'Dietary Interview - Total Nutrient Intakes, First Day', '2013', '2014', 'Dietary', 'None']",
